chirp_mass,chirp_mass_source,mass_1,mass_2,mass_ratio,luminosity_distance,chi_eff
28.667408,25.842869,39.324444,27.743144,0.70549362,521.59792,-0.20069601
30.311667,27.787172,35.777683,33.890905,0.94726382,428.27839,-0.053595408
31.060805,28.292241,49.341984,26.307064,0.53315781,463.47338,0.046576419
29.398464,26.179841,41.311721,27.82023,0.6734222,591.95504,-0.11608519
31.404063,28.913293,37.51652,34.697137,0.92484958,404.8081,0.027242741
29.796638,27.652103,36.100512,32.469608,0.89942237,362.29997,-0.13661568
28.623658,26.173395,37.013665,29.287859,0.79127154,442.13712,-0.22737859
31.099371,28.537168,35.796968,35.650804,0.99591687,422.94704,-0.066234697
31.237388,28.446148,42.751319,30.295282,0.70863971,464.82441,-0.010508735
29.66729,27.357417,35.902593,32.364992,0.90146672,396.29656,-0.087028032
29.464256,27.143685,40.592255,28.399828,0.69963662,401.55595,-0.12936437
31.678281,29.497714,37.897477,34.951599,0.92226719,344.47473,0.068491863
29.08489,26.095155,43.47578,26.011594,0.59830081,548.65724,-0.096706407
31.327326,28.523615,40.142277,32.334822,0.80550543,465.68631,-0.011771068
29.329295,26.546201,34.379086,33.018423,0.96042177,498.85984,-0.17785909
31.07199,28.95547,39.444934,32.360012,0.8203845,340.42374,0.0012950898
30.251935,27.091883,35.994428,33.557512,0.9322974,559.33138,-0.098444222
30.302961,27.522152,40.319006,30.17787,0.74847754,479.56511,-0.054328286
30.676037,28.463286,39.524646,31.496303,0.79687756,363.2173,-0.019673588
28.972343,25.800913,39.823953,27.984903,0.70271535,591.83301,-0.1651747
30.845609,27.425125,41.605079,30.32597,0.72890067,601.2037,-0.014337428
30.478763,27.188448,37.721988,32.530277,0.8623691,581.96832,-0.013230785
32.059407,28.907115,39.523606,34.347404,0.86903518,520.3313,0.027744172
30.943564,28.11457,42.372594,29.994842,0.70788307,477.46278,-0.012129178
30.837892,28.397067,37.603275,33.393476,0.88804701,403.84923,-0.035057375
29.504743,26.924834,37.282262,30.865054,0.82787503,453.20778,-0.13480304
29.999642,27.222326,38.433268,30.970411,0.805823,484.55477,-0.10666257
31.37653,28.969586,41.586762,31.361042,0.75411118,389.61171,-0.023294265
30.904826,28.003273,43.540626,29.176103,0.6700892,492.63234,0.011650705
30.849671,28.313924,38.994441,32.261849,0.82734482,421.81561,-0.0091286219
32.023448,28.422037,39.311917,34.451012,0.87635034,611.58283,0.05484224
30.117568,26.955522,40.064856,29.998528,0.74874919,562.75831,-0.06463233
31.139668,28.755166,36.939999,34.644352,0.93785469,388.81455,0.010470737
30.25873,28.296327,43.93329,27.786739,0.63247571,322.14993,-0.052606179
30.479309,28.31008,40.440016,30.434043,0.75257248,357.72549,-0.038273815
30.161161,27.262133,37.056741,32.42115,0.87490558,506.49566,-0.053084523
30.584707,27.993861,37.703695,32.769035,0.86912,436.78917,-0.082790609
31.220151,28.267121,38.365143,33.553271,0.87457699,496.97298,0.034322993
28.217886,25.816636,38.650321,27.346033,0.70752408,439.10217,-0.28623667
29.287679,27.064783,37.59927,30.175259,0.80254908,384.89335,-0.1512683
29.346987,27.102947,45.555248,25.370925,0.5569265,388.18353,-0.1471533
31.047822,28.029572,36.075905,35.258874,0.97735245,513.34125,-0.012979877
29.581578,27.27776,38.90568,29.784269,0.76555066,396.41847,-0.10095469
29.169979,26.27607,40.134073,28.150628,0.70141467,525.88683,-0.12554219
30.629708,28.245383,42.99497,29.014646,0.67483815,396.20467,0.0041027123
30.938123,28.128276,36.431373,34.671895,0.95170432,473.76978,-0.013236464
29.876263,27.22624,39.21857,30.135307,0.76839383,460.8378,-0.098542343
31.635462,29.018799,36.951036,35.74027,0.96723323,424.87882,-0.010297068
29.702962,27.325582,36.311586,32.084751,0.88359543,409.06703,-0.099667292
31.001513,27.858328,35.885818,35.339471,0.98477541,539.6957,0.0043002201
29.840376,27.70101,38.326312,30.731275,0.80183231,360.70838,-0.12242772
31.370131,28.473011,36.241625,35.829425,0.98862634,483.1666,0.023661295
28.541282,25.501118,43.802161,24.927256,0.56908737,572.63481,-0.17037924
31.053901,28.042446,37.087803,34.319727,0.92536426,511.85182,-0.042481883
30.641897,28.304284,36.409676,34.03496,0.93477789,387.15199,-0.052187113
32.691568,29.52587,39.599302,35.63181,0.89980904,510.97732,0.11705082
29.01576,26.299013,39.977475,27.965511,0.6995317,491.04446,-0.1727219
29.771954,27.113833,42.510106,27.761775,0.65306295,464.38003,-0.051159616
30.7291,27.739585,38.47637,32.430334,0.84286365,513.79983,-0.087495888
30.077351,26.826192,41.788162,28.764016,0.68832929,582.8738,-0.089637517
29.561597,27.558723,34.226092,33.691153,0.98437044,338.37365,-0.12440144
30.198559,27.194844,37.91332,31.788204,0.83844422,527.50981,-0.070858992
30.656313,27.614717,38.159378,32.538781,0.85270732,525.93431,-0.046532904
31.237642,29.198051,37.147073,34.669479,0.93330312,324.59411,-0.010795986
30.97226,28.608258,38.177414,33.187684,0.86930153,387.37448,-0.0378452
30.508291,27.678773,35.642613,34.459025,0.96679291,485.58706,-0.073769807
30.817514,27.597185,35.544186,35.256571,0.99190824,559.58144,-0.084355273
31.634541,28.483005,37.406255,35.307198,0.94388486,528.50638,-0.0038282012
30.262177,27.74548,38.153489,31.726051,0.83153734,427.55509,-0.051961791
29.286311,26.735921,41.836273,27.297163,0.65247597,451.05893,-0.12562217
31.24942,29.646071,37.437145,34.430661,0.91969249,248.54014,0.030148317
29.548046,27.267855,37.569517,30.726308,0.81785209,392.2721,-0.10489821
31.731488,28.615293,38.484254,34.543245,0.89759424,519.56752,0.035102544
29.146743,26.637464,36.624325,30.655525,0.83702634,445.07274,-0.16763521
28.860973,26.722842,39.908926,27.722405,0.69464172,374.41003,-0.17875233
29.544306,27.435217,39.643676,29.188589,0.73627351,358.96085,-0.12595852
29.928998,26.962676,36.953691,32.017293,0.86641663,525.27812,-0.11242303
30.773438,28.261129,40.383011,31.049948,0.76888639,418.51008,0.0090999801
31.439007,28.303207,41.979409,31.204475,0.74332812,529.25902,-0.007123927
30.541885,27.887693,36.370915,33.850215,0.93069462,449.96436,-0.053395103
31.919167,29.034954,44.637136,30.341371,0.67973383,470.94771,0.088233447
30.046567,27.595118,35.308051,33.742143,0.95565009,418.21101,-0.14041997
30.755351,28.356633,41.477899,30.240956,0.72908603,397.08046,-0.072978342
30.433511,28.067279,43.083238,28.60392,0.66392224,395.66406,-0.051322892
33.301607,29.600879,39.569437,36.989731,0.93480557,602.76625,0.065052996
30.849867,27.91813,39.099275,32.178998,0.82300754,499.73678,-0.028786771
30.502434,27.785005,42.100227,29.34996,0.69714493,463.20126,-0.0429875
31.302002,28.730463,36.418663,35.501473,0.9748154,421.55273,0.011475732
31.210833,28.879657,39.342211,32.726458,0.83184085,377.91115,-0.010705758
31.578346,28.755738,37.649491,34.95836,0.92852145,464.99818,0.023367127
30.406978,27.593533,36.104091,33.798439,0.93613876,484.23451,-0.054966937
28.669613,26.219133,35.078903,30.942211,0.88207464,441.35908,-0.21678247
30.569229,27.416092,37.054062,33.296098,0.89858159,550.92194,-0.040535094
30.249153,27.524833,37.458348,32.26803,0.86143762,469.13302,-0.047559519
29.919077,27.629533,43.755,27.294344,0.62379943,388.52488,-0.12393006
30.48565,28.00232,36.0532,34.019839,0.94360111,417.44583,-0.031583808
30.798373,27.639613,40.960181,30.683953,0.74911664,547.18188,-0.0046377146
30.757588,27.995304,43.77625,28.765957,0.65711332,467.58072,0.01484346
30.378302,27.298853,40.728891,30.036034,0.73746261,539.58051,-0.042545161
29.827203,27.480828,36.020318,32.60654,0.90522631,401.00994,-0.11001245
31.249902,28.033273,40.157213,32.167135,0.80103006,549.54643,-0.016865602
31.752435,28.75761,42.12269,31.709911,0.75279881,495.30295,0.040688361
31.867551,29.821102,36.81728,36.396578,0.98857324,318.6084,0.031903204
30.516053,28.30057,35.233812,34.874771,0.98980975,365.89331,-0.076771896
28.637958,26.78872,33.400873,32.400995,0.97006433,320.58536,-0.2291106
31.611077,27.933251,40.625634,32.535617,0.80086421,637.5024,0.049348851
30.333965,27.1026,36.529314,33.252219,0.91028863,572.68776,-0.070580614
31.352715,28.893929,36.146832,35.883372,0.99271138,399.59269,0.033303558
28.863703,26.853391,37.760181,29.208553,0.77352788,349.07807,-0.18870325
29.00862,26.154117,38.607764,28.88116,0.7480661,520.80507,-0.20657554
30.883105,28.412953,37.441751,33.631617,0.89823835,408.74602,-0.032652024
30.041093,26.711784,36.676062,32.492203,0.88592399,600.77371,-0.10750732
31.354406,28.18837,37.45895,34.640677,0.92476369,537.07502,0.0059025626
31.428085,28.524463,38.016957,34.300478,0.90224156,483.39175,-0.0034261822
32.211884,28.900779,37.304473,36.701947,0.9838484,548.64439,0.064819165
31.030427,28.290531,35.853538,35.437123,0.98838565,458.39335,-0.021779003
31.268161,28.581433,37.722067,34.215884,0.90705218,444.07545,-0.01505944
30.859888,28.794271,36.681358,34.26542,0.93413717,333.78211,0.00033211715
